SampleID.ini;Chao1.ini;Shannon.ini;Individual_ID;Cage_ID;Total_lenght.ini;SampleID.old;Chao1.old;Shannon.old;LakeOrigin;Lake_transfer;LakeOrigin2;Lake_transfer2;Status.old;Total_lenght.old;Final_lake;Final_status
343;14;1,38342085555177;R6;R6;41;475;2;0,636514168294813;BL;LL;BL;LL;TR;43;LL;TR
344;3;0,496911884891989;R7;R7;51;476;6;1,60665468100494;LL;CTRL;CTRL;LL;CTRL;50;LL;NOT TR
346;5;0,0633574758229106;R9;R9;36;477;5;0,98141557491211;BL;LL;BL;LL;TR;41;LL;TR
352;19;2,01356958142623;R15;R15;36;481;4;1,13251578665171;BL;LL;BL;LL;TR;42;LL;TR
355;3;0,0894813587950913;R18;R18;44;483;12;2,11028148555518;BL;LL;BL;LL;TR;36;LL;TR
356;6;1,35867779976368;R19;R19;56;484;19;2,62234758973416;LL;CTRL;CTRL;LL;CTRL;58;LL;NOT TR
363;6;0,180600199754596;B2;B2;54;436;10;1,22230005176822;LL;BL;LL;BL;TR;55;BL;TR
380;14;1,35134987470961;B19;B19;35;452;16;2,44553123456062;BL;CTRL;CTRL;BL;CTRL;37;BL;NOT TR
387;10;1,65212524662077;S2;S2;43;455;20;2,51568047200226;BL;SP;BL;SP;TR;43;SP;TR
406;14,5;1,52487389729043;S21;S21;50;467;5;1,08797671971882;LL;SP;LL;SP;TR;46;SP;TR
339;9;1,73857799366733;R2;R2;38;472;6;1,55323811503933;SP;LL;SP;LL;TR;37;LL;TR
341;7;0,879791837911223;R4;R4;54;473;16;2,28232666169319;LL;CTRL;CTRL;LL;CTRL;51;LL;NOT TR
347;7;0,824012653376138;R10;R10;51;478;27;2,90463062999683;LL;CTRL;CTRL;LL;CTRL;51;LL;NOT TR
348;3;1,06748620013433;R11;R11;30;479;6;1,15446353217185;SP;LL;SP;LL;TR;30;LL;TR
350;9;1,09679202732607;R13;R13;50;480;5;1,4542239682895;LL;CTRL;CTRL;LL;CTRL;50;LL;NOT TR
353;3;0,29608997422577;R16;R16;41;482;5;1,41541184610093;LL;CTRL;CTRL;LL;CTRL;41;LL;NOT TR
362;6;0,44687942800858;B1;B1;48;435;14;1,89906150654935;BL;CTRL;CTRL;BL;CTRL;49;BL;NOT TR
364;8;0,670836697175714;B3;B3;37;437;10;2,1476721524154;SP;BL;SP;BL;TR;40;BL;TR
365;12;1,10970885790646;B4;B4;42;438;34;2,8558327206399;BL;CTRL;CTRL;BL;CTRL;41;BL;NOT TR
366;15,3333333333333;1,5021345256633;B5;B5;48;439;9;1,94423358427114;LL;BL;LL;BL;TR;47;BL;TR
368;12;1,0341887760213;B7;B7;49;441;18;1,9738532830645;BL;CTRL;CTRL;BL;CTRL;52;BL;NOT TR
369;9;0,674420258490728;B8;B8;59;442;18;2,33820910504429;LL;BL;LL;BL;TR;58;BL;TR
371;8;1,30246848547769;B10;B10;32;444;9;1,87761882104706;BL;CTRL;CTRL;BL;CTRL;41;BL;NOT TR
372;9;1,26305570420274;B11;B11;36;445;16;2,53800127152027;LL;BL;LL;BL;TR;35;BL;TR
373;6;0,277041790631961;B12;B12;32;446;5;1,3703349361669;SP;BL;SP;BL;TR;33;BL;TR
374;8;1,32052099142307;B13;B13;39;447;8;0,904805045539096;BL;CTRL;CTRL;BL;CTRL;40;BL;NOT TR
375;3;0,382677163819585;B14;B14;56;448;10;2,0871580618649;LL;BL;LL;BL;TR;55;BL;TR
377;8;1,30368059857548;B16;B16;36;449;9;2,05644331950417;BL;CTRL;CTRL;BL;CTRL;36;BL;NOT TR
378;2;0,636514168294813;B17;B17;52;450;11;2,087879137432;LL;BL;LL;BL;TR;50;BL;TR
381;3;0,803818605858063;B20;B20;50;453;8;2,01726425315571;LL;BL;LL;BL;TR;47;BL;TR
388;7;1,03303936712506;S3;S3;58;456;25;2,68713965112822;LL;SP;LL;SP;TR;56;SP;TR
393;8;1,13388387182042;S8;S8;41;458;28;2,23017635411516;BL;SP;BL;SP;TR;42;SP;TR
395;14;1,65162230185277;S10;S10;37;459;3;0,879391428843816;SP;CTRL;CTRL;SP;CTRL;36;SP;NOT TR
396;9;1,52241588155601;S11;S11;43;460;10;0,743634136287487;BL;SP;BL;SP;TR;41;SP;TR
397;8;1,24327959264285;S12;S12;47;461;10;1,76419721421054;LL;SP;LL;SP;TR;44;SP;TR
399;10;1,83002944810705;S14;S14;31;462;10;1,49109521511666;BL;SP;BL;SP;TR;34;SP;TR
402;7;1,58693076615067;S17;S17;38;464;7;0,657434259846956;BL;SP;BL;SP;TR;42;SP;TR
405;8;0,920988368053743;S20;S20;36;466;3;0,475880914686303;BL;SP;BL;SP;TR;38;SP;TR
358;22;2,83169610260816;R21;R21;41;485;16;1,93731095057775;BL;LL;BL;LL;TR;41;LL;TR
